frame,time_s,x,y,motion,freezing
0,0.000000,319.988292,240.022962,,True
1,0.033333,320.013616,239.999248,0.063722,True
2,0.066667,320.086627,239.964000,0.146147,True
3,0.100000,320.102000,239.954960,0.032559,True
4,0.133333,320.110224,240.026782,0.142702,True
5,0.166667,320.184264,239.987443,0.212896,True
6,0.200000,320.175747,240.028455,0.067542,True
7,0.233333,320.179016,240.058722,0.063855,True
8,0.266667,320.057791,240.070144,0.227652,True
9,0.300000,320.156634,240.090383,0.166088,True
10,0.333333,320.159933,240.120100,0.058323,True
11,0.366667,320.116500,240.160081,0.094922,True
12,0.400000,320.151878,240.161205,0.070975,True
13,0.433333,320.153340,240.224959,0.100192,True
14,0.466667,320.101269,240.205453,0.113628,True
15,0.500000,320.151586,240.263973,0.131147,True
16,0.533333,320.187188,240.197371,0.134015,True
17,0.566667,320.295391,240.183602,0.193167,True
18,0.600000,320.239851,240.166898,0.138853,True
19,0.633333,320.238629,240.240837,0.158474,True
20,0.666667,320.265194,240.274402,0.066958,True
21,0.700000,320.277806,240.276724,0.022714,True
22,0.733333,320.255725,240.349052,0.128581,True
23,0.766667,320.292430,240.398982,0.131868,True
24,0.800000,320.389057,240.437639,0.173364,True
25,0.833333,320.382894,240.403232,0.071201,True
26,0.866667,320.403648,240.443811,0.076610,True
27,0.900000,320.456796,240.456509,0.093890,True
28,0.933333,320.453376,240.478102,0.040583,True
29,0.966667,320.400291,240.516945,0.124379,True
30,1.000000,320.408803,240.514157,0.017037,True
31,1.033333,320.438875,240.478138,0.084027,True
32,1.066667,320.557579,240.379152,0.281631,True
33,1.100000,320.600489,240.450750,0.200889,True
34,1.133333,320.581980,240.472737,0.057831,True
35,1.166667,320.644120,240.620394,0.304719,True
36,1.200000,320.596894,240.536170,0.234920,True
37,1.233333,320.518815,240.502801,0.141146,True
38,1.266667,320.451678,240.513893,0.134279,True
39,1.300000,320.403808,240.520658,0.102142,True
40,1.333333,320.418057,240.494425,0.062472,True
41,1.366667,320.369817,240.438209,0.123517,True
42,1.400000,320.372391,240.489447,0.092467,True
43,1.433333,320.301846,240.470033,0.138080,True
44,1.466667,320.269990,240.405257,0.132193,True
45,1.500000,320.275552,240.422495,0.041179,True
46,1.533333,320.219344,240.403684,0.107073,True
47,1.566667,320.221106,240.431898,0.046657,True
48,1.600000,320.120378,240.381029,0.232511,True
49,1.633333,320.166995,240.426244,0.099236,True
50,1.666667,320.169333,240.435864,0.019784,True
51,1.700000,320.145357,240.522497,0.161734,True
52,1.733333,320.183627,240.597283,0.172348,True
53,1.766667,320.277331,240.599364,0.151991,True
54,1.800000,320.259296,240.658031,0.122290,True
55,1.833333,320.253388,240.582318,0.143222,True
56,1.866667,320.286596,240.540548,0.095522,True
57,1.900000,320.291459,240.599617,0.112914,True
58,1.933333,320.212915,240.560993,0.180570,True
59,1.966667,320.197444,240.526929,0.066529,True
60,2.000000,320.253051,240.548481,0.121746,True
61,2.033333,320.247760,240.545629,0.009373,True
62,2.066667,320.233453,240.543898,0.024159,True
63,2.100000,320.236207,240.602491,0.116933,True
64,2.133333,320.187832,240.536775,0.151416,True
65,2.166667,320.229708,240.518330,0.090999,True
66,2.200000,320.142275,240.427634,0.223089,True
