beat,time_s,ibi_s,hr_bpm,in_artifact_window,in_removed_window
0,0.099914,,592.310580,False,False
1,0.203476,0.103563,594.745251,False,False
2,0.305677,0.102201,596.143659,False,False
3,0.406089,0.100411,594.745251,False,False
4,0.506972,0.100884,587.079094,False,False
5,0.604794,0.097822,587.079094,False,False
6,0.707444,0.102650,594.745251,False,False
7,0.812239,0.104795,594.745251,False,False
8,0.917348,0.105109,584.511365,False,False
9,1.017353,0.100006,577.868360,False,False
10,1.116372,0.099018,572.546695,False,False
11,1.227566,0.111194,577.868360,False,False
12,1.331396,0.103830,580.103983,False,False
13,1.436505,0.105110,577.868360,False,False
14,1.539935,0.103430,570.831541,False,False
15,1.638023,0.098088,570.831541,False,False
16,1.747928,0.109905,570.831541,False,False
17,1.855204,0.107275,580.103983,False,False
18,1.961450,0.106246,587.934079,False,False
19,2.063502,0.102052,587.934079,False,False
20,2.163100,0.099598,589.309007,False,False
21,2.264914,0.101814,589.309007,False,False
22,2.366643,0.101729,589.309007,False,False
23,2.466700,0.100057,589.309007,False,False
24,2.573672,0.106972,589.309007,False,False
25,2.683530,0.109858,589.539308,False,False
26,2.788966,0.105435,589.539308,False,False
27,2.890740,0.101774,589.539308,False,False
28,2.991798,0.101058,590.888912,False,False
29,3.090016,0.098219,590.888912,False,False
30,3.185409,0.095393,590.888912,False,False
31,3.286951,0.101542,590.888912,False,False
32,3.391444,0.104494,580.557754,False,False
33,3.496165,0.104720,574.196870,False,False
34,3.601884,0.105719,573.262758,False,False
35,3.705232,0.103349,573.262758,False,False
36,3.809896,0.104664,573.262758,False,False
37,3.916651,0.106755,580.557754,False,False
38,4.017207,0.100555,581.904023,False,False
39,4.119225,0.102018,585.154752,False,False
40,4.222335,0.103110,585.154752,False,False
41,4.324872,0.102537,585.154752,False,False
42,4.426396,0.101524,585.154752,False,False
43,4.529375,0.102979,582.645690,False,False
44,4.633361,0.103987,585.154752,False,False
45,4.734956,0.101595,582.645690,False,False
46,4.838094,0.103138,582.645690,False,False
47,4.939316,0.101222,590.580687,False,False
48,5.043057,0.103741,590.580687,False,False
49,5.143819,0.100762,592.756852,False,False
50,5.244553,0.100734,592.756852,False,False
51,5.348552,0.103999,595.461034,False,False
52,5.448608,0.100056,595.461034,False,False
53,5.555570,0.106961,595.628394,False,False
54,5.655878,0.100308,593.917533,False,False
55,5.760522,0.104645,593.917533,False,False
56,5.860347,0.099825,590.791227,False,False
57,5.961371,0.101024,590.791227,False,False
58,6.064649,0.103278,590.791227,False,False
59,6.166208,0.101559,590.791227,False,False
60,6.269548,0.103340,590.791227,False,False
61,6.369663,0.100116,589.786441,False,False
62,6.471395,0.101732,590.791227,False,False
63,6.570470,0.099075,589.786441,False,False
64,6.672503,0.102033,592.413055,False,False
65,6.767120,0.094616,592.413055,False,False
66,6.873639,0.106519,592.413055,False,False
67,6.974919,0.101281,588.042715,False,False
68,7.073665,0.098745,592.413055,False,False
69,7.176578,0.102913,583.017383,False,False
70,7.283188,0.106611,583.017383,False,False
71,7.381739,0.098551,583.017383,False,False
72,7.485999,0.104259,583.017383,False,False
73,7.596893,0.110894,582.799080,False,False
74,7.698096,0.101203,582.799080,False,False
75,7.795158,0.097062,582.799080,False,False
76,7.898109,0.102951,582.799080,False,False
77,8.005443,0.107334,592.868795,False,False
78,8.104946,0.099503,582.799080,False,False
79,8.215657,0.110711,580.459798,False,False
80,8.313718,0.098061,580.459798,False,False
81,8.417085,0.103366,582.333636,False,False
82,8.520762,0.103677,580.459798,False,False
83,8.623795,0.103034,582.333636,False,False
84,8.725114,0.101318,580.459798,False,False
85,8.828951,0.103838,582.333636,False,False
86,8.930594,0.101642,582.333636,False,False
87,9.036504,0.105910,583.895520,False,False
88,9.139262,0.102758,583.895520,False,False
89,9.244127,0.104865,584.989380,False,False
90,9.345597,0.101470,583.895520,False,False
91,9.448163,0.102566,584.989380,False,False
92,9.550271,0.102108,587.613314,False,False
93,9.653233,0.102962,591.309518,False,False
94,9.753182,0.099949,589.713912,False,False
95,9.852536,0.099354,591.690298,False,False
96,9.953941,0.101404,592.746779,False,False
97,10.055685,0.101744,596.036510,False,False
98,10.156909,0.101224,592.746779,False,False
99,10.257574,0.100665,592.746779,False,False
100,10.357491,0.099918,596.036510,False,False
101,10.460406,0.102914,600.493934,False,False
102,10.557581,0.097175,604.226472,False,False
103,10.656255,0.098674,604.226472,False,False
104,10.754479,0.098225,604.226472,False,False
105,10.853780,0.099301,604.226472,False,False
106,10.956307,0.102527,585.212309,False,False
107,11.059157,0.102850,585.212309,False,False
108,11.163069,0.103912,583.372508,False,False
109,11.266598,0.103529,583.372508,False,False
110,11.368048,0.101450,583.372508,False,False
111,11.471052,0.103004,582.499575,False,False
112,11.569322,0.098270,582.499575,False,False
113,11.670956,0.101634,590.354568,False,False
114,11.774892,0.103936,587.663591,False,False
115,11.882687,0.107796,590.354568,False,False
116,11.981458,0.098770,590.354568,False,False
117,12.083557,0.102099,587.663591,False,False
118,12.184303,0.100746,587.663591,False,False
119,12.285264,0.100961,587.663591,False,False
120,12.388747,0.103483,587.663591,False,False
121,12.493526,0.104778,579.804444,False,False
122,12.598293,0.104768,579.804444,False,False
123,12.699801,0.101508,579.804444,False,False
124,12.803533,0.103732,582.858829,False,False
125,12.906474,0.102941,591.087446,False,False
126,13.005218,0.098744,591.122271,False,False
127,13.106439,0.101222,592.759168,False,False
128,13.207546,0.101107,593.403563,False,False
129,13.309048,0.101502,593.432460,False,False
130,13.410160,0.101112,593.432460,False,False
131,13.510188,0.100028,596.116290,False,False
132,13.610839,0.100652,596.116290,False,False
133,13.709291,0.098452,597.116420,False,False
134,13.809774,0.100483,597.116420,False,False
135,13.911998,0.102224,597.116420,False,False
136,14.009671,0.097673,599.378123,False,False
137,14.110629,0.100958,597.116420,False,False
138,14.210733,0.100104,594.307411,False,False
139,14.310370,0.099637,599.378123,False,False
140,14.414728,0.104358,594.307411,False,False
141,14.516579,0.101851,590.669820,False,False
142,14.616228,0.099650,589.095568,False,False
143,14.717808,0.101580,589.095568,False,False
144,14.825773,0.107965,590.669820,False,False
145,14.927811,0.102038,600.885732,False,False
146,15.024797,0.096986,590.669820,False,False
147,15.123117,0.098320,600.885732,False,False
148,15.222970,0.099853,602.661031,False,False
149,15.327704,0.104734,602.661031,False,False
150,15.427262,0.099558,600.885732,False,False
151,15.526082,0.098819,595.165879,False,False
152,15.628630,0.102548,595.165879,False,False
153,15.729672,0.101041,602.661031,False,False
154,15.830484,0.100812,595.165879,False,False
155,15.928179,0.097695,594.960285,False,False
156,16.027437,0.099258,594.960285,False,False
157,16.130183,0.102745,594.960285,False,False
158,16.231030,0.100847,592.999703,False,False
159,16.332580,0.101550,590.842584,False,False
160,16.433760,0.101180,589.300227,False,False
161,16.539358,0.105598,589.300227,False,False
162,16.641174,0.101816,589.300227,False,False
163,16.744828,0.103654,589.300227,False,False
164,16.847998,0.103170,589.300227,False,False
165,16.945484,0.097485,603.590274,False,False
166,17.042512,0.097028,615.476943,False,False
167,17.141917,0.099405,615.476943,False,False
168,17.238479,0.096562,615.476943,False,False
169,17.335336,0.096858,607.218006,False,False
170,17.437714,0.102377,603.590274,False,False
171,17.539895,0.102181,588.165182,False,False
172,17.638706,0.098811,588.165182,False,False
173,17.744373,0.105667,587.560543,False,False
174,17.846385,0.102012,587.560543,False,False
175,17.946272,0.099886,587.560543,False,False
176,18.048389,0.102117,579.402081,False,False
177,18.151944,0.103555,579.402081,False,False
178,18.256759,0.104815,579.402081,False,False
179,18.360747,0.103988,579.402081,False,False
180,18.465022,0.104274,576.987133,False,False
181,18.567539,0.102517,576.987133,False,False
182,18.665527,0.097988,585.268239,False,False
183,18.771390,0.105863,587.167611,False,False
184,18.872458,0.101068,587.167611,False,False
185,18.974551,0.102093,587.167611,False,False
186,19.076736,0.102185,587.167611,False,False
187,19.181129,0.104393,587.701483,False,False
188,19.286374,0.105245,587.167611,False,False
189,19.386538,0.100164,584.446647,False,False
190,19.483765,0.097227,580.589572,False,False
191,19.586426,0.102661,580.589572,False,False
192,19.690691,0.104265,584.446647,False,False
193,19.794034,0.103343,584.446647,False,False
194,19.902496,0.108462,584.446647,False,False
195,20.002759,0.100263,580.589572,False,False
196,20.100481,0.097722,595.512243,False,False
197,20.201234,0.100754,595.512243,False,False
198,20.305117,0.103883,595.512243,False,False
199,20.401724,0.096607,584.981173,False,False
200,20.511278,0.109554,578.362477,False,False
201,20.613845,0.102567,578.362477,False,False
202,20.719060,0.105215,578.362477,False,False
203,20.822801,0.103741,578.362477,False,False
204,20.925211,0.102410,582.799737,False,False
205,21.029318,0.104107,582.799737,False,False
206,21.132269,0.102951,583.773974,False,False
207,21.235049,0.102780,583.773974,False,False
208,21.336892,0.101844,582.799737,False,False
209,21.437512,0.100620,582.799737,False,False
210,21.545785,0.108273,583.773974,False,False
211,21.649305,0.103520,588.338770,False,False
212,21.754218,0.104913,579.950239,False,False
213,21.856200,0.101982,579.950239,False,False
214,21.955480,0.099280,588.338770,False,False
215,22.058937,0.103457,589.916232,False,False
216,22.158202,0.099265,593.348670,False,False
217,22.259323,0.101121,601.551976,False,False
218,22.361033,0.101709,601.551976,False,False
219,22.460315,0.099283,601.551976,False,False
220,22.560057,0.099742,601.551976,False,False
221,22.659377,0.099320,604.108574,False,False
222,22.760552,0.101175,604.108574,False,False
223,22.859851,0.099299,601.551976,False,False
224,22.955611,0.095760,593.033332,False,False
225,23.057067,0.101456,593.033332,False,False
226,23.158909,0.101842,591.391478,False,False
227,23.263988,0.105080,591.391478,False,False
228,23.365090,0.101102,590.955069,False,False
229,23.470005,0.104915,589.150392,False,False
230,23.567665,0.097660,584.434342,False,False
231,23.669195,0.101531,586.369718,False,False
232,23.773020,0.103825,586.369718,False,False
233,23.875684,0.102663,590.955069,False,False
234,23.978008,0.102325,590.955069,False,False
235,24.078363,0.100354,592.362055,False,False
236,24.178881,0.100518,592.362055,False,False
237,24.280170,0.101289,592.362055,False,False
238,24.381143,0.100973,594.217353,False,False
239,24.483660,0.102517,592.362055,False,False
240,24.587729,0.104069,592.362055,False,False
241,24.688101,0.100372,587.761507,False,False
242,24.790183,0.102082,585.270298,False,False
243,24.887480,0.097297,587.761507,False,False
244,24.991350,0.103870,597.744278,False,False
245,25.094660,0.103310,590.682550,False,False
246,25.195038,0.100377,590.682550,False,False
247,25.294018,0.098980,586.187870,False,False
248,25.395595,0.101577,586.187870,False,False
249,25.497951,0.102356,590.682550,False,False
250,25.600501,0.102550,586.187870,False,False
251,25.705684,0.105183,586.187870,False,False
252,25.806955,0.101270,585.081617,False,False
253,25.909891,0.102937,585.081617,False,False
254,26.010343,0.100451,592.473021,False,False
255,26.115185,0.104843,592.473021,False,False
256,26.212179,0.096994,587.912183,False,False
257,26.312222,0.100043,587.912183,False,False
258,26.414278,0.102056,587.912183,False,False
259,26.518470,0.104192,599.742969,False,False
260,26.621955,0.103485,599.742969,False,False
