beat,time_s,ibi_s,hr_bpm,in_artifact_window,in_removed_window
0,0.097367,,633.124133,False,False
1,0.189970,0.092603,623.523916,False,False
2,0.286197,0.096227,622.448580,False,False
3,0.379550,0.093353,621.373243,False,False
4,0.476110,0.096560,623.523916,False,False
5,0.575549,0.099439,621.373243,False,False
6,0.672144,0.096595,621.373243,False,False
7,0.766220,0.094076,621.373243,False,False
8,0.864236,0.098016,637.780444,False,False
9,0.955962,0.091726,644.298129,False,False
10,1.045471,0.089509,644.298129,False,False
11,1.134859,0.089388,654.121913,False,False
12,1.227983,0.093125,654.121913,False,False
13,1.327589,0.099606,644.298129,False,False
14,1.418253,0.090663,644.298129,False,False
15,1.517750,0.099497,635.783355,False,False
16,1.612122,0.094372,633.814560,False,False
17,1.701066,0.088945,633.814560,False,False
18,1.795731,0.094665,633.814560,False,False
19,1.892248,0.096517,633.814560,False,False
20,1.990060,0.097812,621.654743,False,False
21,2.084390,0.094330,621.654743,False,False
22,2.182189,0.097799,614.340645,False,False
23,2.279854,0.097666,614.340645,False,False
24,2.375697,0.095842,626.027287,False,False
25,2.474114,0.098417,614.340645,False,False
26,2.567574,0.093460,626.027287,False,False
27,2.662609,0.095036,626.027287,False,False
28,2.761302,0.098692,631.342016,False,False
29,2.855542,0.094240,631.342016,False,False
30,2.957920,0.102379,630.665755,False,False
31,3.051607,0.093687,630.665755,False,False
32,3.146745,0.095138,636.671743,False,False
33,3.246647,0.099902,630.665755,False,False
34,3.340349,0.093703,639.850545,False,False
35,3.434121,0.093772,639.850545,False,False
36,3.535132,0.101010,639.850545,False,False
37,3.628500,0.093368,639.850545,False,False
38,3.722175,0.093675,632.962567,False,False
39,3.818409,0.096234,632.962567,False,False
40,3.913201,0.094792,634.292753,False,False
41,4.014963,0.101761,634.292753,False,False
42,4.109556,0.094594,632.962567,False,False
43,4.197902,0.088345,634.292753,False,False
44,4.291905,0.094004,634.292753,False,False
45,4.388270,0.096365,638.273574,False,False
46,4.480757,0.092486,640.349954,False,False
47,4.575815,0.095059,638.273574,False,False
48,4.669514,0.093699,640.349954,False,False
49,4.762724,0.093210,642.355936,False,False
50,4.858103,0.095380,640.349954,False,False
51,4.950458,0.092355,640.349954,False,False
52,5.043864,0.093406,637.776943,False,False
53,5.139511,0.095647,634.534344,False,False
54,5.233588,0.094077,634.534344,False,False
55,5.328992,0.095404,628.902382,False,False
56,5.423550,0.094558,627.306912,False,False
57,5.520669,0.097119,628.902382,False,False
58,5.616863,0.096194,628.902382,False,False
59,5.715587,0.098725,633.885194,False,False
60,5.804680,0.089093,623.739096,False,False
61,5.899335,0.094654,633.885194,False,False
62,5.991811,0.092476,633.885194,False,False
63,6.088222,0.096411,648.816225,False,False
64,6.178978,0.090755,643.537206,False,False
65,6.276416,0.097439,643.537206,False,False
66,6.368777,0.092360,634.066264,False,False
67,6.462011,0.093235,634.066264,False,False
68,6.556639,0.094627,634.066264,False,False
69,6.651500,0.094862,634.066264,False,False
70,6.748811,0.097310,634.066264,False,False
71,6.840779,0.091968,634.066264,False,False
72,6.935978,0.095199,639.532716,False,False
73,7.023872,0.087894,639.532716,False,False
74,7.117690,0.093818,639.532716,False,False
75,7.210305,0.092615,633.473790,False,False
